date,volume_oil_formation_bbls,volume_gas_formation_mcf,volume_water_formation_bbls
2010-01-01,161,42,261
2010-02-01,221,47,374
2010-03-01,226,54,423
2010-04-01,205,55,372
2010-05-01,255,58,369
2010-06-01,179,42,194
2010-07-01,218,50,249
2010-08-01,188,44,233
2010-09-01,159,95,195
2010-10-01,142,100,186
2010-11-01,143,74,198
2010-12-01,159,53,200
2011-01-01,145,51,209
2011-02-01,15,8,52
2011-03-01,2,0,0
2011-05-01,41,11,118
2011-06-01,247,109,952
2011-07-01,257,126,852
2011-08-01,36,14,86
2011-09-01,4,0,0
